frame,type,confidence,tracking_id,x1,y1,x2,y2,license_plate_text,lp_x1,lp_y1,lp_x2,lp_y2,lp_confidence
0,bus,0.68,100,1402,52,1918,476,-1,1402,52,1918,476,-1
0,car,0.94,1,1321,312,1398,371,-1,1321,312,1398,371,-1
1,bus,0.85,2,1 402,56,1918,471,-1,1402,56,1918,471,-1
1,car,0.94,1,1321,312,1397,371,-1,1321,312,1397,371,-1
2,bus,0.82,2,1395,63,1918,467,-1,1395,63,1918,467,-1
2,car,0.94,1,1320,312,1395,371,-1,1320,312,1395,371,-1
3,bus,0.82,2,1389,67,1918,466,-1,1389,67,1918,466,-1
3,car,0.9,1,1318,312,1395,371,-1,1318,312,1395,371,-1
4,bus,0.84,2,1390,72,1918,464,-1,1390,72,1918,464,-1
4,car,0.93,1,1316,312,1394,371,-1,1316,312,1394,371,-1
5,bus,0.82,2,1392,76,1918,462,-1,1392,76,1918,462,-1
5,car,0.94,1,1316,312,1392,370,-1,1316,312,1392,370,-1
6,bus,0.81,2,1391,79,1918,461,-1,1391,79,1918,461,-1
6,car,0.94,1,1316,312,1390,370,-1,1316,312,1390,370,-1
7,bus,0.8,2,1388,84,1918,458,-1,1388,84,1918,458,-1
7,car,0.94,1,1314,312,1389,369,-1,1314,312,1389,369,-1
8,bus,0.79,2,1386,88,1918,457,-1,1386,88,1918,457,-1
8,car,0.94,1,1313,312,1387,368,-1,1313,312,1387,368,-1
9,bus,0.79,2,1383,92,1918,457,-1,1383,92,1918,457,-1
9,car,0.95,1,1311,312,1386,368,-1,1311,312,1386,368,-1
10,bus,0.81,2,1382,96,1918,456,-1,1382,96,1918,456,-1
10,car,0.94,1,1310,312,1385,367,-1,1310,312,1385,367,-1
11,bus,0.81,2,1382,97,1918,455,-1,1382,97,1918,455,-1
11,car,0.93,1,1309,312,1384,368,-1,1309,312,1384,368,-1
12,bus,0.79,2,1382,101,1915,453,-1,1382,101,1915,453,-1
12,car,0.94,1,1309,312,1382,368,-1,1309,312,1382,368,-1
13,bus,0.79,2,1381,104,1903,451,-1,1381,104,1903,451,-1
13,car,0.93,1,1309,312,1380,368,-1,1309,312,1380,368,-1
14,bus,0.8,2,1380,107,1889,451,-1,1380,107,1889,451,-1
14,car,0.92,1,1309,312,1378,368,-1,1309,312,1378,368,-1
15,bus,0.78,2,1378,111,1872,450,-1,1378,111,1872,450,-1
15,car,0.93,1,1308,312,1375,367,-1,1308,312,1375,367,-1
16,bus,0.78,2,1376,114,1866,449,-1,1376,114,1866,449,-1
16,car,0.92,1,1308,313,1374,367,-1,1308,313,1374,367,-1
17,bus,0.79,2,1376,117,1858,450,-1,1376,117,1858,450,-1
17,car,0.91,1,1308,313,1373,366,-1,1308,313,1373,366,-1
18,bus,0.78,2,1375,121,1840,448,-1,1375,121,1840,448,-1
18,car,0.92,1,1308,313,1372,367,-1,1308,313,1372,367,-1
19,bus,0.77,2,1374,125,1826,446,-1,1374,125,1826,446,-1
19,car,0.93,1,1308,314,1370,367,-1,1308,314,1370,367,-1
20,bus,0.79,2,1372,127,1816,444,-1,1372,127,1816,444,-1
20,car,0.92,1,1308,313,1369,368,-1,1308,313,1369,368,-1
21,bus,0.76,2,1371,132,1809,442,-1,1371,132,1809,442,-1
21,car,0.92,1,1308,313,1368,368,-1,1308,313,1368,368,-1
22,bus,0.74,2,1369,135,1808,442,-1,1369,135,1808,442,-1
22,car,0.92,1,1308,313,1366,367,-1,1308,313,1366,367,-1
23,bus,0.75,2,1369,140,1804,441,-1,1369,140,1804,441,-1
