epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5136,0.84755,1.21944,0.99332,0.92471,0.93182,0.95912,0.77558,0.69107,0.9226,0.82034,0.000662745,0.000662745,0.000662745
2,103.182,0.84479,0.72502,0.97725,0.91654,0.92803,0.93992,0.74473,0.6588,0.80881,0.79959,0.00126361,0.00126361,0.00126361
3,152.256,0.81293,0.62836,0.96881,0.9194,0.95833,0.9684,0.65498,1.18583,0.80954,0.85153,0.00179847,0.00179847,0.00179847
4,203.156,0.78805,0.56857,0.95574,0.93198,0.94318,0.9624,0.70681,1.04984,0.64032,0.79896,0.001703,0.001703,0.001703
5,255.347,0.76877,0.5477,0.95463,0.93445,0.95455,0.97377,0.74231,0.96369,0.60915,0.80164,0.001604,0.001604,0.001604
6,307.933,0.70537,0.50453,0.94081,0.9395,0.97727,0.96722,0.79165,0.63282,0.59308,0.75804,0.001505,0.001505,0.001505
7,361.637,0.68403,0.48764,0.93223,0.95364,0.93509,0.9701,0.74357,0.96463,0.59027,0.78683,0.001406,0.001406,0.001406
8,415.008,0.65818,0.45656,0.92817,0.94149,0.9753,0.98555,0.74934,0.98618,0.53578,0.7895,0.001307,0.001307,0.001307
9,469.267,0.64971,0.44955,0.92334,0.94687,0.9697,0.97701,0.80974,0.85215,0.61078,0.80637,0.001208,0.001208,0.001208
10,523.36,0.63041,0.43634,0.92135,0.94766,0.96023,0.97397,0.82436,0.59494,0.51072,0.76217,0.001109,0.001109,0.001109
11,627.507,0.58875,0.42871,0.88609,0.92695,0.95455,0.9725,0.85917,0.57012,0.45591,0.75848,0.00101,0.00101,0.00101
12,679.956,0.57916,0.41173,0.88365,0.95793,0.94879,0.97308,0.81675,0.66853,0.49603,0.75676,0.000911,0.000911,0.000911
13,733.028,0.55575,0.38414,0.87591,0.949,0.98485,0.97764,0.81561,0.68863,0.52211,0.77241,0.000812,0.000812,0.000812
14,787.122,0.53514,0.3707,0.87497,0.95455,0.98485,0.97527,0.85178,0.60357,0.42455,0.74876,0.000713,0.000713,0.000713
15,841.123,0.50225,0.34631,0.86847,0.96999,0.97962,0.97769,0.82405,0.69218,0.43384,0.74429,0.000614,0.000614,0.000614
16,895.306,0.48415,0.33345,0.86462,0.95909,0.99242,0.9787,0.88331,0.47792,0.3568,0.74103,0.000515,0.000515,0.000515
17,948.455,0.45738,0.3169,0.85882,0.96349,0.98864,0.97935,0.87059,0.53015,0.4435,0.75143,0.000416,0.000416,0.000416
18,1000.95,0.44621,0.3095,0.85193,0.97397,0.99204,0.97843,0.833,0.60281,0.37522,0.74025,0.000317,0.000317,0.000317
19,1054.63,0.42625,0.29179,0.85167,0.96761,0.98864,0.97939,0.88979,0.46984,0.35572,0.73869,0.000218,0.000218,0.000218
20,1105.55,0.39914,0.27665,0.84548,0.96858,0.98864,0.98167,0.90234,0.48979,0.33128,0.72968,0.000119,0.000119,0.000119
