epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1578,0.84568,1.22079,0.99483,0.93347,0.91635,0.9601,0.69932,0.97179,0.92666,0.81683,0.000662745,0.000662745,0.000662745
2,58.057,0.84202,0.71207,0.97495,0.93075,0.91985,0.92936,0.72676,0.75878,0.61986,0.79543,0.00128554,0.00128554,0.00128554
3,84.7429,0.81652,0.63187,0.96995,0.32539,0.93156,0.41759,0.20292,1.76717,1.70201,1.05046,0.00186434,0.00186434,0.00186434
4,111.011,0.78424,0.58121,0.95796,0.95794,0.93536,0.9559,0.63035,1.04645,0.75045,0.8313,0.001802,0.001802,0.001802
5,138.841,0.77415,0.54898,0.95747,0.95739,0.96578,0.97699,0.74294,0.99625,0.67806,0.81301,0.001736,0.001736,0.001736
6,165.51,0.71715,0.50556,0.94347,0.92054,0.95437,0.97607,0.80038,0.73441,0.60029,0.77844,0.00167,0.00167,0.00167
7,196.27,0.71116,0.49674,0.93938,0.92597,0.95116,0.97077,0.78901,0.79834,0.51988,0.76724,0.001604,0.001604,0.001604
8,226.411,0.66921,0.47039,0.93402,0.94041,0.96004,0.96949,0.73332,0.94737,0.59442,0.79194,0.001538,0.001538,0.001538
9,255.199,0.66462,0.46717,0.92924,0.91934,0.95344,0.96736,0.80373,0.78505,0.60921,0.77774,0.001472,0.001472,0.001472
10,283.664,0.65582,0.45478,0.92843,0.95456,0.95847,0.97399,0.82745,0.61302,0.48053,0.75855,0.001406,0.001406,0.001406
11,313.017,0.63907,0.44371,0.92264,0.94449,0.97037,0.97511,0.82486,0.626,0.43721,0.75348,0.00134,0.00134,0.00134
12,342.038,0.62892,0.427,0.92125,0.96441,0.96958,0.97482,0.79628,0.84108,0.46355,0.76644,0.001274,0.001274,0.001274
13,369.987,0.61551,0.42457,0.91804,0.941,0.97034,0.97545,0.80218,0.71824,0.47032,0.76046,0.001208,0.001208,0.001208
14,399.233,0.59853,0.41457,0.91254,0.95769,0.96958,0.97869,0.80835,0.73675,0.48251,0.77723,0.001142,0.001142,0.001142
15,427.931,0.59127,0.40696,0.91117,0.95168,0.96958,0.97742,0.83944,0.65077,0.45026,0.75813,0.001076,0.001076,0.001076
16,456.509,0.57084,0.39133,0.91031,0.93274,0.98099,0.97598,0.81665,0.69817,0.44383,0.7616,0.00101,0.00101,0.00101
17,486.468,0.57351,0.38899,0.90774,0.95545,0.97856,0.97081,0.81696,0.5869,0.43524,0.74574,0.000944,0.000944,0.000944
18,515.901,0.56414,0.39251,0.90919,0.96644,0.98544,0.97873,0.80814,0.71083,0.4248,0.74089,0.000878,0.000878,0.000878
19,545.544,0.54814,0.37503,0.90116,0.96242,0.9738,0.97871,0.83391,0.53453,0.39565,0.74671,0.000812,0.000812,0.000812
20,577.803,0.52958,0.36263,0.89606,0.96284,0.9853,0.98368,0.8251,0.59585,0.41249,0.73732,0.000746,0.000746,0.000746
21,664.33,0.52163,0.35381,0.86866,0.9452,0.9838,0.97558,0.81718,0.69974,0.47769,0.76004,0.00068,0.00068,0.00068
22,693.05,0.48694,0.3387,0.86545,0.94047,0.98859,0.97756,0.83739,0.62525,0.39253,0.75023,0.000614,0.000614,0.000614
23,718.753,0.48761,0.33178,0.86767,0.95908,0.9924,0.97956,0.82902,0.69686,0.41249,0.75222,0.000548,0.000548,0.000548
24,745.499,0.45601,0.31754,0.85622,0.96642,0.98475,0.98005,0.84252,0.63155,0.42821,0.75596,0.000482,0.000482,0.000482
25,772.436,0.45733,0.30881,0.85269,0.95884,0.97444,0.98034,0.83166,0.65316,0.38055,0.74419,0.000416,0.000416,0.000416
26,800.813,0.4209,0.29025,0.84898,0.95903,0.98859,0.9789,0.88739,0.54068,0.38861,0.73899,0.00035,0.00035,0.00035
27,826.88,0.41112,0.27914,0.85088,0.97152,0.98859,0.97857,0.90087,0.47305,0.34051,0.73613,0.000284,0.000284,0.000284
28,857.853,0.40051,0.27237,0.84735,0.97366,0.98374,0.9788,0.87826,0.55204,0.3887,0.7331,0.000218,0.000218,0.000218
29,887.858,0.38268,0.26179,0.83903,0.95945,0.98973,0.97736,0.89779,0.41063,0.35297,0.72847,0.000152,0.000152,0.000152
30,917.913,0.37051,0.25188,0.84323,0.96659,0.98999,0.97785,0.89435,0.44642,0.33219,0.73046,8.6e-05,8.6e-05,8.6e-05
